,CONTRACT_KEY,CONSUMPTION_VAR
864,142789827,121.31521138
865,142789896,4.18784849964
866,142789910,112.824913442
867,142789911,273.378251831
868,142789969,21.4639808871
869,142789970,46.7940521713
870,142789973,182.913229357
871,142789986,146.881890735
872,142790013,67.3900219762
873,142790015,11.6212715541
874,142790033,10.3749678984
875,142790034,61.3579409429
876,142790041,1240.66939168
877,142790043,30.4189274768
878,142790127,120.231695931
879,142790131,195.710710167
880,142790176,103.889178796
881,142790177,98.1077831357
882,142790209,210.950391612
883,142790214,77.8474216861
884,142790224,80.946614111
885,142790225,50.3025260507
886,142790252,67.5588074665
887,142790272,14.9936484862
888,142790276,0.222035276403
889,142790281,153.283032327
890,142790324,12.4938634606
891,142790332,240.647586211
892,142790339,70.3831175762
893,142790352,6.15072885138
894,142790369,57.3412069746
895,142790391,23.8494848429
896,142790393,68.7370775958
897,142790405,44.6773371074
898,142790545,230.74559594
899,142790555,36.1879261219
900,142790609,75.0062853092
901,142790629,3.45585758955
902,142790672,326.277572309
903,142790678,102.413520344
904,142790687,6.86927345236
905,142790691,0.832253946277
906,142790694,5.12760697716
907,142790704,12.3325637985
908,142790736,22.4698386805
909,142790747,26.2600095959
910,142790760,275.05315993
911,142790768,82.0920178824
912,142790771,82.7814491981
913,142790784,2.60381060391
914,142790788,199.563594122
915,142790791,78.4284439721
916,142790797,10.9300860754
917,142790804,36.7326704594
918,142790805,49.1522609103
919,142790806,7.82309259114
920,142790875,56.375898612
921,142790881,44.9498326636
922,142790887,32.719645411
923,142790931,117.561402071
924,142790946,316.729294125
925,142790991,44.5394408072
926,142791029,120.472965622
927,142791036,71.1470777606
928,142791038,231.342559952
929,142791063,5.59332512462
930,142791074,31.9487203389
931,142791106,54.7052409142
932,142791118,20.0050164612
933,142791129,86.1092902688
934,142791144,36.3153334679
935,142791149,16.4170053136
936,142791150,86.6228651205
937,142791151,75.9628809606
938,142791157,21.3401064013
939,142791161,26.6126620458
940,142791167,21.3615786597
941,142791170,116.23093206
942,142791173,313.536719667
943,142791175,25.7311556481
944,142791176,81.3759250175
945,142791177,8.71211198591
946,142791231,295.885015355
947,142791247,44.3170655208
948,142791260,122.568724804
949,142791261,47.9479932916
950,142791262,
951,142791264,22.6823773446
952,142791267,10.863967272
953,142791328,50.4422855909
954,142791329,7.74124033582
955,142791342,234.704127828
956,142791347,6.67050732807
957,142791355,74.9187965027
958,142791363,1.91682044098
959,142791367,23.7499964543
960,142791390,71.0442793249
961,142791468,44.4801421533
962,142791471,0.0398679971156
963,142791482,28.397561822
964,142791494,1.83687226868
